SRC_CELL_ID,TOTAL_SUCCESS_CALLS,TOTAL_DROP_CALLS,TOTAL_BLOCK_CALLS,TOTAL_CSFB_CALLS,TOTAL_SETUP_FAIL_CALLS,CELL_AVG_RSRP,CELL_P10_RSRP,CELL_P90_RSRP,CELL_AVG_RSRQ,CELL_AVG_TA,CELL_P90_TA,CELL_AVG_DL_THROUPUT,CELL_AVG_UL_THROUPUT,CELL_TOTAL_DL_VOLUME,CELL_TOTAL_UL_VOLUME,CELL_TOTAL_PING_PONG_HO_COUNT,TOTAL_CALLS,CELL_SUCCESS_RATE,CELL_DROP_RATE,CELL_BLOCK_RATE
147010_21,499614,216,0,1082,0,-90.45340764431548,-104.3332977294922,-77.25,-11.47658093665838,49.91480100600603,80.0,4307.454294124305,1724.010659144423,296157893.4574824,34489577.26350664,10909082069,500912,0.9974087264828952,0.0004312134666368544,0.0
147010_22,14924,29,0,63,0,-99.49663048064893,-109.5,-86.0,-13.66264587574076,63.8887614647485,96.0,3673.562180169302,1303.360075994459,39747396.99930017,4627803.941899971,291766676,15016,0.9938732019179541,0.001931273308470964,0.0
147010_23,9932,7,0,4,0,-95.13542916747654,-104.0,-85.20960235595703,-10.93127680954218,63.96796978130796,88.0,5011.702405181682,1828.599204846045,4779550.23189998,1140421.579799993,255808788,9943,0.9988936940561198,0.0007040128733782561,0.0
147010_24,177852,36,0,145,0,-87.48550331489108,-98.75,-76.33329772949219,-10.71877423789954,57.6577453794831,83.76470184326172,3316.2642157829,1452.012397117378,159320416.2613202,21781203.3397019,3163952717,178033,0.9989833345503362,0.0002022097026955677,0.0
147010_31,440912,91,0,613,0,-93.65540714518912,-104.9499969482422,-82.76190185546875,-12.55599376357667,61.17047811968285,96.0,3676.237716204188,1749.306240609637,379805391.809927,41061336.01761625,10546812631,441616,0.9984058548603312,0.0002060613745878772,0.0
147010_32,17799,19,0,125,0,-101.5033375280249,-112.0,-88.5,-13.98702538814033,65.59201947905504,96.0,3450.984409771733,1312.10139089624,39892256.26670071,4688345.694899976,422094469,17943,0.9919745861896004,0.001058908766649947,0.0
147010_33,7770,3,0,8,0,-98.87575004370748,-104.3076019287109,-93.5999984741211,-10.74554132272308,53.68478562075857,80.0,5811.545644493694,1985.381007212628,4435998.624999998,497528.2186000008,76345699,7781,0.9985862999614445,0.0003855545559696697,0.0
147010_34,77870,16,0,76,0,-92.16223954747075,-100.8000030517578,-83.38089752197266,-9.768647395308506,58.55714575507606,85.33329772949219,3945.549293419786,1420.783981158678,104860213.9768073,7421478.247699892,2089479520,77962,0.9988199379184731,0.0002052281880916344,0.0
147010_41,26,0,0,0,0,-97.76918763380785,-102.8408966064453,-89.8823013305664,-15.28131525333111,35.26561555495629,72.88880157470703,8108.028642857143,2130.216335714286,34780.4691,2722.675200000001,311171,26,1.0,0.0,0.0
147010_43,1,0,0,0,0,-91.95989990234375,-91.95989990234375,-91.95989990234375,-12.87539958953857,53.82160186767578,53.82160186767578,20386.7649,5470.4999,88542.2685,11826.5371,23119,1,1.0,0.0,0.0
147010_44,183884,30,0,142,0,-87.76646558900708,-99.0,-77.5,-11.26161031561984,47.69761284777321,80.0,2705.655958817265,1244.46727446418,126500429.4896054,13086001.8224003,3574636535,184056,0.9990655018037988,0.0001629938714304342,0.0
